brand_id,brand_name,hq_office,hq_address,lat,lon,country,country_code,founded,last_Y,last_Ninc,Y,IPO,employees,webpage
1,China State Construction Engineering,China State Construction Engineering Corp. Ltd.,"No. 15 Sanlihe Road, Haidian District, Beijing 100037, China",39.9042,116.4074,China,CN,1957,299200,8400,2023,601668.SS,330000,https://english.cscec.com/
2,China Railway Group,China Railway Group Limited,"Tower A, Fuxing Gate, No. 88 Fuxingmennei Street, Xicheng District, Beijing 100031, China",39.9042,116.364,China,CN,1950,156980,3200,2023,0390.HK,280000,https://www.crecg.com/english/
3,China Railway Construction,China Railway Construction Corporation Limited,"No. 69 Fuxing Road, Haidian District, Beijing 100855, China",39.9042,116.282,China,CN,1948,144650,2100,2023,601186.SS,290000,https://english.crcc.cn/
4,China Communications Construction,China Communications Construction Company Limited,"85 De Sheng Men Wai Street, Xicheng District, Beijing 100088, China",39.9567,116.382,China,CN,2005,104150,2800,2023,601800.SS,150000,https://en.ccccltd.cn/
5,Power Construction Corporation of China,Power Construction Corporation of China Ltd.,"No. 1 Fuxing Road, Haidian District, Beijing 100038, China",39.9042,116.3,China,CN,2011,89260,1200,2023,601669.SS,180000,https://en.powerchina.cn/
6,Vinci,Vinci SA,"1 Cours Ferdinand de Lesseps, 92851 Rueil-Malmaison, France",48.8789,2.1744,France,FR,1899,75720,4700,2023,DG.PA,222000,https://www.vinci.com/en
7,Grupo ACS,Grupo ACS Actividades de Construcción y Servicios SA,"Calle Federico Salmon 13, 28016 Madrid, Spain",40.4168,-3.7038,Spain,ES,1997,63280,450,2023,ACS.MC,200000,https://www.grupoacs.com/
8,Bouygues,Bouygues SA,"Place de l'Europe, 78180 Saint-Quentin-en-Yvelines, France",48.8566,2.3522,France,FR,1952,63000,1100,2023,EN.PA,200000,https://www.bouygues.com/en/
9,Hochtief,Hochtief AG,"Alfredstrasse 236, 45133 Essen, Germany",51.4556,7.0116,Germany,DE,1874,42330,650,2023,HOT.F,44000,https://www.hochtief.com/
10,Daiwa House,Daiwa House Industry Co. Ltd.,"3-3-5 Nakamura-cho, Nara 630-8580, Japan",34.6857,135.833,Japan,JP,1955,35450,2100,2023,1925.T,145000,https://www.daiwahouse.com/english/
11,Lennar,Lennar Corporation,"700 NW 107th Avenue, Miami, FL 33172, USA",25.797,-80.366,United States,US,1954,34760,3404,2023,LEN,12137,https://www.lennar.com/
12,D.R. Horton,D.R. Horton Inc.,"1341 Horton Circle, Arlington, TX 76021, USA",32.697,-97.121,United States,US,1978,34570,4665,2023,DHI,14000,https://www.drhorton.com/
13,Larsen & Toubro,Larsen & Toubro Limited,"L&T House, Ballard Estate, Mumbai 400 001, India",18.9354,72.8341,India,IN,1938,30830,1600,2023,LT.NS,55000,https://www.larsentoubro.com/
14,Sekisui House,Sekisui House Ltd.,"2-4-4 Osaki, Shinagawa-ku, Tokyo 141-8634, Japan",35.6197,139.728,Japan,JP,1960,28000,1200,2023,1928.T,25000,https://www.sekisuihouse.co.jp/english/
15,China National Chemical Engineering,China National Chemical Engineering Co. Ltd.,"No. 16 North Chaoyangmen Avenue, Chaoyang District, Beijing 100020, China",39.9289,116.388,China,CN,1953,25910,350,2023,601117.SS,120000,https://en.cncec.com.cn/
16,Eiffage,Eiffage SA,"3-7 Place de l'Europe, 78140 Velizy-Villacoublay, France",48.7819,2.2138,France,FR,1992,25010,680,2023,FGR.PA,80000,https://www.eiffage.com/en/
17,Skanska,Skanska AB,"Warfvinges väg 25, SE-112 51 Stockholm, Sweden",59.3326,18.0316,Sweden,SE,1887,18300,274,2023,SKA B.ST,27430,https://group.skanska.com/
18,Kajima,Kajima Corporation,"2-1-6 Akasaka, Minato-ku, Tokyo 107-8348, Japan",35.6762,139.650,Japan,JP,1840,18180,580,2023,1812.T,36000,https://www.kajima.co.jp/english/
19,Strabag,Strabag SE,"Trabrennstrasse 2, 1020 Vienna, Austria",48.2082,16.3738,Austria,AT,1835,17790,420,2023,XD4.F,76000,https://www.strabag.com/en
20,PulteGroup,PulteGroup Inc.,"3350 Peachtree Road NE, Suite 150, Atlanta, GA 30326, USA",33.845,-84.366,United States,US,1950,17620,2463,2023,PHM,5855,https://www.pulte.com/
21,China Vanke,China Vanke Co. Ltd.,"Vanke Center, No.33 Huanmei Road, Dameisha, Yantian District, Shenzhen, Guangdong, China",22.5833,114.25,China,CN,1984,61470,1728,2023,000002.SZ,116394,https://www.vanke.com/en/
22,Country Garden,Country Garden Holdings Co. Ltd.,"No. 1 Country Garden, Shunde, Foshan, Guangdong, China",23.0167,113.25,China,CN,1992,50800,-6800,2023,2007.HK,70482,https://www.countrygarden.com.cn/en/
23,Poly Developments,Poly Developments and Holdings Group Co. Ltd.,"Poly Plaza, No. 14 Linhe West Road, Tianhe District, Guangzhou, Guangdong, China",23.1417,113.3167,China,CN,1992,41600,2250,2023,600048.SS,30000,https://www.poly.com.cn/
24,China Resources Land,China Resources Land Limited,"China Resources Building, 26 Harbour Road, Wan Chai, Hong Kong",22.2783,114.1747,Hong Kong,HK,1994,38200,4500,2023,1109.HK,40000,https://www.crland.com.hk/
25,Emcor,Emcor Group Inc.,"301 Merritt 7, Norwalk, CT 06851, USA",41.1364,-73.4174,United States,US,1946,16240,820,2023,EME,28000,https://www.emcor.com/
26,Obayashi,Obayashi Corporation,"2-15-2 Konan, Minato-ku, Tokyo 108-8502, Japan",35.6426,139.698,Japan,JP,1892,15860,480,2023,1802.T,38000,
27,Fluor,Fluor Corporation,"6700 Las Colinas Boulevard, Irving, TX 75039, USA",32.8719,-96.9434,United States,US,1912,15580,-280,2023,FLR,41000,https://www.fluor.com/
28,China State Construction International,China State Construction International Holdings Ltd.,"Central Plaza, 18 Harbour Road, Wan Chai, Hong Kong",22.2783,114.1747,Hong Kong,HK,1979,14820,450,2023,3311.HK,25000,https://www.chinaconstruction.com/
29,Sichuan Road and Bridge Group,Sichuan Road and Bridge Group (SRBG),"Chengdu, Sichuan Province, China",30.5728,104.0668,China,CN,1950,14590,280,2023,600039.SS,45000,https://www.srbg.com.cn/
30,Shimizu Corporation,Shimizu Corporation,"2-3-4 Etchujima, Koto-ku, Tokyo 135-8530, Japan",35.6733,139.815,Japan,JP,1804,13670,120,2023,1803.T,24000,https://www.shimz.co.jp/english/
31,Sumitomo Forestry,Sumitomo Forestry Co. Ltd.,"2-1-2 Otemachi, Chiyoda-ku, Tokyo 100-8602, Japan",35.6762,139.763,Japan,JP,1948,12610,380,2023,1911.T,55000,https://www.sumitomo-forestry.com/english/
32,Taisei Corporation,Taisei Corporation,"1-25-1 Nishi-Shinjuku, Shinjuku-ku, Tokyo 163-0606, Japan",35.6895,139.692,Japan,JP,1873,11990,420,2023,1801.T,20000,https://www.taisei.co.jp/english/
33,Daito Trust Construction,Daito Trust Construction Co. Ltd.,"2-16-1 Konan, Minato-ku, Tokyo 108-8211, Japan",35.6426,139.698,Japan,JP,1947,11810,580,2023,1878.T,43000,https://www.daito-trust.co.jp/english/
34,Toll Brothers,Toll Brothers Inc.,"250 Gibraltar Road, Horsham, PA 19044, USA",40.201,-75.239,United States,US,1967,10870,1185,2023,TOL,5500,https://www.tollbrothers.com/
35,NVR,NVR Inc.,"11700 Plaza America Drive, Reston, VA 20190, USA",38.954,-77.349,United States,US,1980,10470,1241,2023,NVR,6700,https://www.nvrinc.com/
36,Balfour Beatty,Balfour Beatty plc,"1 Angel Square, Manchester M60 0AD, UK",53.4808,-2.2426,United Kingdom,GB,1909,10330,180,2023,BBY.L,26000,https://www.balfourbeatty.com/
37,Ferrovial,Ferrovial SE,"Calle López de Hoyos 2, 28006 Madrid, Spain",40.4389,-3.6732,Spain,ES,1952,9840,520,2023,FER.MC,25000,https://www.ferrovial.com/
38,Hyundai Engineering & Construction,Hyundai Engineering & Construction Co. Ltd.,"92 Yulgok-ro, Jongno-gu, Seoul, South Korea",37.5759,126.985,South Korea,KR,1947,18400,150,2023,000720.KS,6700,https://www.hdec.kr/eng/
39,Taylor Morrison,Taylor Morrison Home Corporation,"4900 N. Scottsdale Road, Suite 2000, Scottsdale, AZ 85251, USA",33.5091,-111.923,United States,US,1996,8370,680,2023,TMHC,2400,https://www.taylormorrison.com/
40,Acciona,Acciona SA,"Avenida de Europa 18, Parque Empresarial La Moraleja, 28108 Alcobendas, Spain",40.5469,-3.6422,Spain,ES,1997,7790,320,2023,ANA.MC,42000,https://www.acciona.com/
41,Fomento de Construcciones y Contratas,FCC Fomento de Construcciones y Contratas SA,"Calle Federica Montseny 58, 08174 Sant Cugat del Vallès, Barcelona, Spain",41.4669,2.0869,Spain,ES,1944,7730,180,2023,FCC.MC,90000,https://www.fcc.es/
42,AtkinsRéalis,AtkinsRéalis (formerly SNC-Lavalin),"455 René-Lévesque Boulevard West, Montreal, Quebec H2Z 1Z3, Canada",45.5017,-73.5673,Canada,CA,1911,7580,220,2023,ATRL.TO,35000,https://www.atkinsrealis.com/
43,Primoris Services,Primoris Services Corporation,"2300 N. Field Street, Suite 1900, Dallas, TX 75201, USA",32.7848,-96.8,United States,US,1960,7450,195,2023,PRIM,14000,https://www.prim.com/
44,HASEKO Corporation,HASEKO Corporation,"5-1-1 Toyosu, Koto-ku, Tokyo 135-0061, Japan",35.6544,139.796,Japan,JP,1955,7450,380,2023,1808.T,12000,https://www.haseko.co.jp/english/
45,Subsea 7,Subsea 7 S.A.,"40 Rue du Puits Romain, L-8070 Bertrange, Luxembourg",49.6116,6.0639,Luxembourg,LU,2002,6980,210,2023,SUBC.OL,12000,https://www.subsea7.com/
46,PORR,PORR AG,"Absberggasse 47, 1100 Vienna, Austria",48.1784,16.3845,Austria,AT,1869,6900,85,2023,ABS2.F,21000,https://www.porr-group.com/
